episode,return
349,-668.8285673860134
350,-661.7143694769338
351,-497.5896203427227
352,-562.3795415817783
353,-616.4588203235481
354,-548.7626780357609
355,-427.5809303741818
356,-602.4056237747307
357,-737.2080627359717
358,-675.5272987226703
359,-456.0310698291557
360,-448.11144208266154
361,-595.8063446007279
362,-584.7728831553735
363,-692.6089428456858
364,-671.4668863935372
365,-355.4041154401079
366,-240.74225553403113
367,-432.4438791328296
368,-733.0166359082413
369,-542.7553429442745
370,-417.5959224191993
371,-523.8213852577094
372,-620.1993168242865
373,-418.764036248586
374,-330.49382770868596
375,-582.3214561142995
376,-498.3025187629042
377,-578.7145362709355
378,-592.4591918815673
379,-586.4318927067296
380,-618.4173603800468
381,-548.7237628532963
382,-656.6688438834271
383,-660.7714679658108
384,-592.2209327634913
385,-559.523916949845
386,-610.4934038439367
387,-631.750697977829
388,-618.2064780480628
389,-269.45140813219905
390,-637.468975555862
391,-554.5216668723164
392,-552.121379674878
393,-437.49899007252037
394,-565.5713361273522
395,-650.1839934025546
396,-516.3286521932253
397,-544.4431406860468
398,-608.2098251396486
399,-496.51660251102993
400,-444.6680683949922
401,-543.5578760031913
402,-602.3827438400692
403,-546.4799474713849
404,-619.1692695719801
405,-565.389531554246
406,-332.3621846541534
407,-378.62304031647824
408,-580.1466369166166
409,-651.3408281334711
410,-458.647944004308
411,-446.5966655132822
412,-665.9775307836363
413,-646.0540237920123
414,-520.253666231543
415,-376.36876063807847
416,-629.7354614147706
417,-462.3039059060613
418,-623.0378555215567
419,-526.2698606199319
420,-519.7300473683457
421,-568.2726852858733
422,-643.4330844869858
423,-445.2729950046337
424,-471.2742441810895
425,-552.9876918193092
426,-505.0861516536803
427,-565.4758280946288
428,-637.0597692201998
429,-539.5928085625472
430,-329.2340024382153
431,-603.1831038937994
432,-578.2278493553607
433,-387.19340202643235
434,-571.1607564631681
435,-581.4646309201519
436,-297.37439135087305
437,-466.2938534114599
438,-514.7215849713837
439,-375.4572663840676
440,-304.70328783781764
441,-600.829789450873
442,-545.0629917404548
443,-548.6604757902069
444,-597.740971315931
445,-689.4368788809093
446,-519.9300684985417
447,-697.660905923252
448,-681.147227734982
449,-645.0339730881267
450,-536.2941988208293
451,-750.2470950643586
452,-328.98367525123825
453,-619.591242895783
454,-700.5618498937391
455,-602.6016056316103
456,-850.3576137312274
457,-497.22369903971736
458,-575.3801830740948
459,-466.00445142820104
460,-652.8646167511667
461,-530.7450534547511
462,-702.134335197943
463,-487.8931598893734
464,-613.3574593557796
465,-649.4240566585669
466,-331.9844009761443
467,-613.2776670489118
468,-578.8156301893665
469,-760.5468074086081
470,-459.3379440663632
471,-637.9227107753111
472,-560.3827048066671
473,-654.2803613351116
474,-365.1382321878967
475,-587.3130940641025
476,-554.0058182744428
477,-476.42379247129185
478,-873.7576075169237
479,-340.87184401303386
480,-276.30477915148646
481,-741.502298751344
482,-384.5591280202733
483,-503.3977874997116
484,-562.4635323890726
485,-655.5935005876114
486,-710.99956265862
487,-479.9612566218935
488,-502.66704929199994
489,-614.0148975986012
490,-389.77358187239093
491,-662.6952311906182
492,-620.4250570569287
493,-647.974324743006
494,-588.3279920976579
495,-713.0473624368911
496,-358.4966636085327
497,-616.049278185475
498,-605.8238607511597
499,-541.9283726066791
500,-625.0923991095558
501,-731.010275757544
502,-614.914278516315
503,-336.88465283416093
504,-621.3158888154911
505,-469.82378947564433
506,-554.503479683506
507,-748.778646186424
508,-441.248848679715
509,-493.6970986542506
510,-447.00160181009437
511,-589.5189206592767
512,-617.4091231941719
513,-467.94120711928747
514,-799.9378809715055
515,-610.0702901310939
516,-552.316901598578
517,-543.256631662173
518,-582.1651891451762
519,-678.5870327323562
520,-485.0259881603039
521,-525.8767123960182
522,-456.1471524908612
523,-503.52957895535764
524,-472.3287969797573
525,-447.91206597411355
526,-682.3038731010432
527,-595.8370497477383
528,-528.5304680813049
529,-228.3409081686099
530,-643.7230792810918
531,-648.0285129773877
532,-463.33090305280285
533,-386.06636652925545
534,-673.9202524783493
535,-535.2609721739974
536,-408.58225780077686
537,-652.7928859415748
538,-526.1237224986893
539,-558.7065581861418
540,-636.4850983794619
541,-538.6975221514313
542,-502.88840326781667
543,-403.9965255414237
544,-606.2232761668099
545,-591.6535222135817
546,-617.4484430230664
547,-523.2528484664748
548,-473.65639275217114
549,-549.6352548068476
550,-697.5833888849737
551,-251.66459022176377
552,-578.2295046686071
553,-399.62463757201976
554,-439.7278273811894
555,-647.6248595323733
556,-750.0817217692219
557,-741.1928686423589
558,-631.3574610298177
559,-597.2733876957617
560,-449.82927393248747
561,-511.7881812283225
562,-671.2574630735301
563,-570.9672200864229
564,-799.2566124101154
565,-771.0049154631655
566,-637.5206543943025
567,-605.2814527551307
568,-678.8234691200553
569,-545.9227811551585
570,-571.8339995837628
571,-363.4083792215938
572,-579.2130318819942
573,-470.1960970619702
574,-625.6664765400568
575,-453.68369803383445
576,-663.4990619039826
577,-436.07847027668765
578,-634.5367183994341
579,-457.2159663567296
580,-651.370026919049
581,-724.8115664164211
582,-519.0009323331792
583,-153.3255755453951
584,-669.0007415292242
585,-367.8592067068456
586,-521.865234014552
587,-428.6097001265259
588,-534.0963325515193
589,-573.1300928345748
590,-332.87295899153094
591,-539.231425507087
592,-495.27675240267786
593,-671.1390973423136
594,-733.8968014387348
595,-586.8020413399224
596,-663.7916752178584
597,-423.6052037244585
598,-530.8898044825287
599,-731.9168693336433
600,-600.471931362409
601,-590.3706212218085
602,-699.7021764627627
603,-646.4353118304125
604,-223.4053512223898
605,-548.070693766282
606,-781.3327094065669
607,-687.1386287323345
608,-614.40406412429
609,-424.7714046315937
610,-508.7513946292896
611,-642.178104110978
612,-397.6047963421591
613,-649.8480131742075
614,-420.2568766166952
615,-646.0597423900217
616,-522.8787570404579
617,-475.0892295841978
618,-534.5273422523144
619,-476.09868396091264
620,-746.0653927427734
621,-602.9325550081905
622,-682.9256706013764
623,-503.8343326394126
624,-540.6862550620066
625,-487.18285812813383
626,-714.3975838344896
627,-645.7295834958156
628,-452.1272431816839
629,-718.0526098789538
630,-606.5850264037235
631,-587.5583001402952
632,-628.3772542353485
633,-567.1411845249977
634,-651.0452382936911
635,-413.25750573853463
636,-490.4852106589137
637,-705.9895419031295
638,-428.3641701727985
639,-599.7295186396449
640,-595.9154618311318
641,-330.75735901630287
642,-753.3698539726688
643,-554.8597511237451
644,-539.4414836254616
645,-777.355604038797
646,-708.5734329438777
647,-524.8488591553012
648,-453.3166891013738
649,-785.9100799583334
650,-519.4062863422548
651,-505.85115149072396
652,-499.616269134452
653,-741.0593872329141
654,-666.5003377043788
655,-521.9349070055214
656,-631.7530381735463
657,-789.1379278407887
658,-467.6485259394965
659,-617.7631387712137
660,-529.0275658666135
661,-544.5260344096022
662,-526.7509319182603
663,-654.7423660457956
664,-516.52503134297
665,-592.044047455079
666,-656.2005126067619
667,-375.3000593579486
668,-501.8827406677526
669,-317.0067509455548
670,-564.908473836166
671,-692.1853676629388
672,-484.82117433167315
673,-564.5803704073343
674,-673.8999637489993
675,-519.9591163391322
676,-681.2733348245406
677,-638.7838254166827
678,-542.3025789127826
679,-647.359695842166
680,-632.5655394245995
681,-697.2479156485311
682,-457.526178015428
683,-636.5497575114856
684,-647.1900521945732
685,-638.2360126364126
686,-232.71345321688204
687,-539.6678948487446
688,-541.5816122620071
689,-536.6549906193702
690,-573.5702165204285
691,-692.324590640572
692,-635.0003891157196
693,-609.5469255816176
694,-586.1458132611946
695,-543.5126822296636
696,-757.8968734951052
697,-570.1831081583119
698,-733.0426810756582
699,-681.1506137408475
700,-554.4886030844923
701,-522.7409724320946
702,-448.0425384507227
703,-730.9457094031875
704,-531.3565514329089
705,-605.2214041585752
706,-750.4139139216525
707,-665.5403171914716
708,-390.37421598083637
709,-625.9047920750205
710,-590.482328220553
711,-612.5824575454477
712,-517.0558890420389
713,-550.6250852975875
714,-697.1803266368498
715,-594.4176910568997
716,-648.8429188388707
717,-527.1784183869697
718,-450.0322785460273
719,-660.7838602049718
720,-604.7657031350486
721,-705.327427927725
722,-517.6608122165987
723,-543.0968438484161
724,-651.3714132403852
725,-558.3789217090467
726,-656.7818789694783
727,-638.1509647086613
